id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,home_id,home_team,home_fifa_code,group,home_is_placeholder,away_id,away_team,away_fifa_code,away_group_letter,away_is_placeholder,stage,stage_stage_order,city_city_name,host_country,city_venue_name,city_region_cluster,airport_code
1,1,1.0,2.0,15,1,2026-06-11 21:00:00+00:00,Group A,1.0,Mexico,MEX,A,False,2.0,South Africa,RSA,A,False,Group Stage,1,Mexico City,Mexico,Estadio Azteca,Central,MEX
2,2,3.0,4.0,14,1,2026-06-12 04:00:00+00:00,Group A,3.0,Korea Republic,KOR,A,False,4.0,Czechia,CZE,A,False,Group Stage,1,Guadalajara,Mexico,Estadio Akron,Central,GDL
3,3,5.0,6.0,12,1,2026-06-12 19:00:00+00:00,Group B,5.0,Canada,CAN,B,False,6.0,Bosnia and Herzegovina,BIH,B,False,Group Stage,1,Toronto,Canada,BMO Field,East,YYZ
4,4,13.0,14.0,6,1,2026-06-13 04:00:00+00:00,Group D,13.0,USA,USA,D,False,14.0,Paraguay,PAR,D,False,Group Stage,1,Los Angeles,USA,SoFi Stadium,West,LAX
5,5,7.0,8.0,10,1,2026-06-13 22:00:00+00:00,Group B,7.0,Qatar,QAT,B,False,8.0,Switzerland,SUI,B,False,Group Stage,1,San Francisco Bay Area,USA,Levi's Stadium,West,SFO
6,6,9.0,10.0,8,1,2026-06-13 22:00:00+00:00,Group C,9.0,Brazil,BRA,C,False,10.0,Morocco,MAR,C,False,Group Stage,1,New York/New Jersey,USA,MetLife Stadium,East,EWR
7,7,11.0,12.0,2,1,2026-06-14 01:00:00+00:00,Group C,11.0,Haiti,HAI,C,False,12.0,Scotland,SCO,C,False,Group Stage,1,Boston,USA,Gillette Stadium,East,BOS
8,8,15.0,16.0,13,1,2026-06-14 07:00:00+00:00,Group D,15.0,Australia,AUS,D,False,16.0,Türkiye,TUR,D,False,Group Stage,1,Vancouver,Canada,BC Place,West,YVR
9,9,17.0,18.0,4,1,2026-06-14 18:00:00+00:00,Group E,17.0,Germany,GER,E,False,18.0,Curaçao,CUR,E,False,Group Stage,1,Houston,USA,NRG Stadium,Central,IAH
10,10,21.0,22.0,3,1,2026-06-14 21:00:00+00:00,Group F,21.0,Netherlands,NED,F,False,22.0,Japan,JPN,F,False,Group Stage,1,Dallas,USA,AT&T Stadium,Central,DAL
11,11,19.0,20.0,9,1,2026-06-14 23:00:00+00:00,Group E,19.0,Côte d'Ivoire,CIV,E,False,20.0,Ecuador,ECU,E,False,Group Stage,1,Philadelphia,USA,Lincoln Financial Field,East,PHL
12,12,23.0,24.0,16,1,2026-06-15 04:00:00+00:00,Group F,23.0,Sweden,SWE,F,False,24.0,Tunisia,TUN,F,False,Group Stage,1,Monterrey,Mexico,Estadio BBVA,Central,MTY
13,13,29.0,30.0,1,1,2026-06-15 16:00:00+00:00,Group H,29.0,Spain,ESP,H,False,30.0,Cabo Verde,CPV,H,False,Group Stage,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL
14,14,25.0,26.0,11,1,2026-06-15 22:00:00+00:00,Group G,25.0,Belgium,BEL,G,False,26.0,Egypt,EGY,G,False,Group Stage,1,Seattle,USA,Lumen Field,West,SEA
15,15,31.0,32.0,7,1,2026-06-15 22:00:00+00:00,Group H,31.0,Saudi Arabia,KSA,H,False,32.0,Uruguay,URU,H,False,Group Stage,1,Miami,USA,Hard Rock Stadium,East,MIA
16,16,27.0,28.0,6,1,2026-06-16 04:00:00+00:00,Group G,27.0,IR Iran,IRN,G,False,28.0,New Zealand,NZL,G,False,Group Stage,1,Los Angeles,USA,SoFi Stadium,West,LAX
17,17,33.0,34.0,8,1,2026-06-16 19:00:00+00:00,Group I,33.0,France,FRA,I,False,34.0,Senegal,SEN,I,False,Group Stage,1,New York/New Jersey,USA,MetLife Stadium,East,EWR
18,18,35.0,36.0,2,1,2026-06-16 22:00:00+00:00,Group I,35.0,Iraq,IRQ,I,False,36.0,Norway,NOR,I,False,Group Stage,1,Boston,USA,Gillette Stadium,East,BOS
19,19,37.0,38.0,5,1,2026-06-17 02:00:00+00:00,Group J,37.0,Argentina,ARG,J,False,38.0,Algeria,ALG,J,False,Group Stage,1,Kansas City,USA,Arrowhead Stadium,Central,MCI
20,20,39.0,40.0,10,1,2026-06-17 07:00:00+00:00,Group J,39.0,Austria,AUT,J,False,40.0,Jordan,JOR,J,False,Group Stage,1,San Francisco Bay Area,USA,Levi's Stadium,West,SFO
21,21,41.0,42.0,4,1,2026-06-17 18:00:00+00:00,Group K,41.0,Portugal,POR,K,False,42.0,Congo DR,COD,K,False,Group Stage,1,Houston,USA,NRG Stadium,Central,IAH
22,22,45.0,46.0,3,1,2026-06-17 21:00:00+00:00,Group L,45.0,England,ENG,L,False,46.0,Croatia,CRO,L,False,Group Stage,1,Dallas,USA,AT&T Stadium,Central,DAL
23,23,47.0,48.0,12,1,2026-06-17 23:00:00+00:00,Group L,47.0,Ghana,GHA,L,False,48.0,Panama,PAN,L,False,Group Stage,1,Toronto,Canada,BMO Field,East,YYZ
24,24,43.0,44.0,15,1,2026-06-18 04:00:00+00:00,Group K,43.0,Uzbekistan,UZB,K,False,44.0,Colombia,COL,K,False,Group Stage,1,Mexico City,Mexico,Estadio Azteca,Central,MEX
25,25,4.0,2.0,1,1,2026-06-18 16:00:00+00:00,Group A,4.0,Czechia,CZE,A,False,2.0,South Africa,RSA,A,False,Group Stage,1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL
26,26,8.0,6.0,6,1,2026-06-18 22:00:00+00:00,Group B,8.0,Switzerland,SUI,B,False,6.0,Bosnia and Herzegovina,BIH,B,False,Group Stage,1,Los Angeles,USA,SoFi Stadium,West,LAX
27,27,5.0,7.0,13,1,2026-06-19 01:00:00+00:00,Group B,5.0,Canada,CAN,B,False,7.0,Qatar,QAT,B,False,Group Stage,1,Vancouver,Canada,BC Place,West,YVR
28,28,1.0,3.0,14,1,2026-06-19 03:00:00+00:00,Group A,1.0,Mexico,MEX,A,False,3.0,Korea Republic,KOR,A,False,Group Stage,1,Guadalajara,Mexico,Estadio Akron,Central,GDL
29,29,13.0,15.0,11,1,2026-06-19 22:00:00+00:00,Group D,13.0,USA,USA,D,False,15.0,Australia,AUS,D,False,Group Stage,1,Seattle,USA,Lumen Field,West,SEA
